00D0E7	VCON TELECOMMUNICATION LTD.
00D0F7	NEXT NETS CORPORATION
00DD07	UNGERMANN-BASS INC.
00E007	Avaya ECS Ltd
00E017	EXXACT GmbH
00E027	DUX, INC.
00E037	CENTURY CORPORATION
00E047	InFocus Corporation
00E057	HAN MICROTELECOM. CO., LTD.
00E067	eac AUTOMATION-CONSULTING GmbH
00E077	WEBGEAR, INC.
00E087	LeCroy - Networking Productions Division
00E097	CARRIER ACCESS CORPORATION
00E0A7	IPC INFORMATION SYSTEMS, INC.
00E0B7	PI GROUP, LTD.
00E0C7	EUROTECH SRL
00E0D7	SUNSHINE ELECTRONICS, INC.
00E0E7	RAYTHEON E-SYSTEMS, INC.
00E0F7	Cisco
0452C7	Bose Corporation
045FA7	Shenzhen Yichen Technology Development Co.,LTD
0462D7	ALSTOM HYDRO FRANCE
04B0E7	HUAWEI TECHNOLOGIES CO.,LTD
04D437	Znv
080007	Apple
080017	National Semiconductor Corp. (used to have Network System Corp., wrong NSC)
080027	PCS Computer Systems GmbH
080037	Fuji Xerox
080047	Sequent
080057	Evans & Sutherland (?)
080067	Comdesign
080077	TSL (now Retix)
080087	Xyplex				terminal servers
084027	Gridstore Inc.
0896D7	AVM GmbH
089F97	LEROY AUTOMATION
08BE77	Green Electronics
08CCA7	Cisco Systems, Inc
08D0B7	Qingdao Hisense Communications Co.,Ltd.
08F1B7	Towerstream Corpration
0C0227	Technicolor CH USA Inc.
0C1167	Cisco Systems, Inc
0C2AE7	Beijing General Research Institute of Mining and Metallurgy
0C51F7	CHAUVIN ARNOUX
0C6127	Actiontec Electronics, Inc
0C8A87	AgLogica Holdings, Inc
0CC3A7	Meritec
0CFD37	SUSE Linux GmbH
103047	Samsung Electronics Co.,Ltd
104D77	Innovative Computer Engineering
104E07	Shanghai Genvision Industries Co.,Ltd
105887	Fiberhome Telecommunication Technologies Co.,LTD
105AF7	ADB Italia
10E3C7	Seohwa Telecom
140467	SNK Technologies Co.,Ltd.
141357	ATP Electronics, Inc.
141877	Dell Inc.
1423D7	EUTRONIX CO., LTD.
142D27	Hon Hai Precision Ind. Co.,Ltd.
143F27	Noccela Oy
144D67	Zioncom Electronics (Shenzhen) Ltd.
